attribute,accuracy,precision_macro,recall_macro,f1_macro,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,confusion_matrix_tn_fp_fn_tp
sentiment,0.989,0.9940476190476191,0.9367816091954023,0.9632636567356085,1.0,0.8735632183908046,0.9325153374233128,0.9880952380952381,1.0,0.9940119760479041,"[76, 11, 0, 913]"
맛,0.916,0.5752491160398586,0.7227741616230825,0.6027542372881356,0.16470588235294117,0.5185185185185185,0.25,0.985792349726776,0.9270298047276464,0.9555084745762712,"[14, 13, 71, 902]"
식감,0.794,0.7838153538937276,0.75509146115678,0.7648659507633867,0.7594501718213058,0.6190476190476191,0.6820987654320988,0.8081805359661495,0.8911353032659409,0.8476331360946746,"[221, 136, 70, 573]"
기타,0.454,0.5987369413633092,0.5736360944555482,0.44681075254001,0.8415841584158416,0.24853801169590642,0.3837471783295711,0.3558897243107769,0.8987341772151899,0.5098743267504489,"[170, 514, 32, 284]"
가격,0.861,0.8962383703787351,0.7902573529411765,0.819160880465342,0.8377028714107366,0.986764705882353,0.9061444969615124,0.9547738693467337,0.59375,0.7321772639691715,"[671, 9, 130, 190]"
주관적평가,0.925,0.5367941917237692,0.7641414141414141,0.5493627989977828,0.07792207792207792,0.6,0.13793103448275862,0.9956663055254604,0.9282828282828283,0.9607945635128071,"[6, 4, 71, 919]"
